analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Brent Thielman,15,3,"EME-US, MLM-US, MTZ-US",0.032739395369658066,0,
Wayne Lin,1,1,TSM-US,0.0327598421622887,0,
Alicia Xia,3,1,TXN-US,0.0327733723750259,0,
Joel P. Fishbein Jr.,3,1,MSFT-US,0.0327787132792664,0,
Christian Schwab,5,1,AMAT-US,0.03290162865037644,0,
Praneeth Satish,9,1,WMB-US,0.032918479803161246,0,
Ralph Schackart,5,1,META-US,0.03296832720163297,0,
Kevin Heal,5,1,CME-US,0.032975781932137314,0,
Tao Xu,3,1,AMD-US,0.032983895236843065,0,
Lulu Xia,15,2,"AMZN-US, META-US",0.03302236521973821,0,
Louis Ng,1,1,AMZN-US,0.0330585670854127,0,
Curtis A Shauger,3,2,"AMZN-US, MSFT-US",0.03311509998802743,0,
Ella Ji,18,3,"AMZN-US, META-US, MSFT-US",0.033119042787530494,0,
Saiyi He,19,3,"AMZN-US, META-US, MSFT-US",0.0331467621465046,0,
Joseph Bonner,8,2,"META-US, MSFT-US",0.033178923179893224,0,
Barney Yao,32,9,"AAPL-US, AMD-US, AMZN-US, META-US, MSFT-US, MU-US, NVDA-US, TSM-US, TXN-US",0.03318188140958302,0,
Charles Shi,16,4,"AMAT-US, GFS-US, KLAC-US, TSM-US",0.03318776308112578,0,
Justin Patterson,11,2,"AMZN-US, META-US",0.033207120142653763,0,
Gregg Moskowitz,7,1,MSFT-US,0.033242667921348716,0,
Selman Akyol,8,1,WMB-US,0.03326709360662439,0,
Ashish Sabadra,7,1,CME-US,0.03335475954076357,0,
Ian Chi,1,1,TSM-US,0.0333738733198629,0,
Jason Helfstein,16,2,"AMZN-US, META-US",0.033450690371212365,0,
Sebastien Naji,8,3,"META-US, MU-US, NVDA-US",0.033470208530490986,0,
Daniel Salmon,15,2,"AMZN-US, META-US",0.033623382644451145,0,
Anthony Lau,3,1,TSM-US,0.033684549538316795,0,
Benjamin Black,7,2,"AMZN-US, META-US",0.03369676801591028,0,
Donald Fandetti,5,1,V-US,0.033715680338337,0,
Carter Gould,10,2,"LLY-US, VRTX-US",0.033728884105919316,0,
Aaron Kessler,6,2,"AMZN-US, META-US",0.03384600516931283,0,
Xiao Yu Han,22,5,"AAPL-US, META-US, MSFT-US, NVDA-US, QCOM-US",0.0338719414875761,0,
John Davis,8,1,V-US,0.03388823939421435,0,
Cory Kasimov,3,1,VRTX-US,0.03393161419353074,0,
Mark Rosen,1,1,AAPL-US,0.0339434807227055,0,
Krisztina Katai,5,1,BJ-US,0.0341065137767607,0,
Dawei Wang,17,3,"AMD-US, NVDA-US, TSM-US",0.034150003572894605,0,
Mark Zgutowicz,5,1,META-US,0.034152609712214774,0,
Josh J. Beck,20,2,"AMZN-US, META-US",0.034198280647289823,0,
Joe Quatrochi,22,3,"AMAT-US, KLAC-US, TXN-US",0.034332347991520136,0,
Owen Lau,4,1,CME-US,0.0344172311578661,0,
Edward Kelly,5,1,BJ-US,0.03444696223939566,0,
Vincent Bai,5,1,META-US,0.0344894525666413,0,
Timna Tanners,6,2,"FCX-US, MLM-US",0.034572180368579154,0,
Maria Ripps,21,2,"AMZN-US, META-US",0.0346833532738169,0,
Chuck Grom,5,1,BJ-US,0.03507159747260528,0,
Youssef Squali,24,2,"AMZN-US, META-US",0.035092083238865805,0,
Jay Olson,7,1,VRTX-US,0.03518496771265683,0,
Rupesh Parikh,6,1,BJ-US,0.035207615935989804,0,
Robyn Karnauskas,6,2,"LLY-US, VRTX-US",0.035228626713221634,0,
Christopher Graja,5,1,BJ-US,0.03540650065461922,0,
James Lee,10,2,"AMZN-US, META-US",0.035422826245907965,0,
Matthew D. Ramsay,8,2,"AMD-US, NVDA-US",0.035482181344095434,0,
Billy Fitzsimmons,1,1,MSFT-US,0.0355080005836292,0,
David Risinger,24,2,"LLY-US, VRTX-US",0.03552411080253882,0,
Corey Tarlowe,5,1,BJ-US,0.03560889444073444,0,
Greg Melich,6,1,BJ-US,0.035618063094432134,0,
Megan Tao,1,1,AMZN-US,0.0356398783915562,0,
Jay Goldberg,17,6,"AAPL-US, AMAT-US, AMD-US, NVDA-US, QCOM-US, TXN-US",0.03566425031101041,0,
Andrew Uerkwitz,1,1,AAPL-US,0.0357465277777777,0,
Yan Hui Hao,6,3,"AAPL-US, META-US, NVDA-US",0.035746634072617134,0,
Stefan Chang,7,4,"AMD-US, NVDA-US, QCOM-US, TSM-US",0.03583367225148058,0,
Phillip Blee,5,1,BJ-US,0.035863363315684696,0,
Rufus Hone,5,1,V-US,0.03596884631817152,0,
Oliver Chen,6,1,BJ-US,0.035988150038050885,0,
Brad Erickson,24,2,"AMZN-US, META-US",0.035992554753693555,0,
Colin Liu,13,3,"AAPL-US, MSFT-US, TSM-US",0.03610576523687323,0,
Michael Yee,3,1,VRTX-US,0.03614399504394444,0,
Amit Daryanani,7,2,"AAPL-US, SNDK-US",0.036276126772242685,0,
Ross Walthall,5,1,META-US,0.036276631940850415,0,
Li Yen Chen,6,1,TSM-US,0.036311889632266135,0,
David Heasman,5,1,META-US,0.03648371403029982,0,
Bryan Keane,6,1,V-US,0.036492662338900084,0,
Brian Abrahams,12,1,VRTX-US,0.036582169389512205,0,
Rob Wilson,1,1,AAPL-US,0.0365876436781609,0,
Seung-Woo Lee,1,1,TSM-US,0.0367127354452054,0,
Timothy Horan,8,1,MSFT-US,0.03679468641193036,0,
Patrick O'Shaughnessy,11,1,CME-US,0.03680221736430767,0,
Ya Li Guo,1,1,MSFT-US,0.0368698020524293,0,
Blayne Curtis,36,7,"AMAT-US, AMD-US, GFS-US, KLAC-US, NVDA-US, SNDK-US, TXN-US",0.036875220836190103,0,
Joon Lee,6,1,VRTX-US,0.03692905453141205,0,
Patrick Colville,1,1,MSFT-US,0.0370225183600019,0,
Paul Matteis,5,1,VRTX-US,0.037084838469463845,0,
John Blackledge,24,2,"AMZN-US, META-US",0.03718429549118355,0,
Ishan Majumdar,11,5,"AAPL-US, AMZN-US, META-US, TSM-US, TXN-US",0.03719500821189942,0,
Justin  Jenkins,4,1,LNG-US,0.0373060504347437,0,
Michael Morris,9,1,META-US,0.037312297924944865,0,
Robert Drbul,3,1,BJ-US,0.0373294377295038,0,
Thomas Champion,24,2,"AMZN-US, META-US",0.037329660882738515,0,
Danielle Brill,5,1,VRTX-US,0.037427882711222944,0,
Greg Harrison,4,1,VRTX-US,0.03743941581444597,0,
Shebly Seyrafi,3,1,META-US,0.037465154010810964,0,
Steve Barger,17,2,"AMAT-US, KLAC-US",0.03749460572348193,0,
Serena Yi Qi Lim,4,1,META-US,0.0375007860165215,0,
Mark Lipacis,35,6,"AMAT-US, AMD-US, GFS-US, NVDA-US, QCOM-US, TXN-US",0.037607104566104645,0,
Leping Huang,9,2,"AAPL-US, TSM-US",0.03769865631737083,0,
Mohit Bansal,23,2,"LLY-US, VRTX-US",0.03775334271463297,0,
Felix Hsu,8,1,TSM-US,0.03791283013038603,0,
Liisa A. Bayko,2,1,VRTX-US,0.0379312180368854,0,
Jamie Cook,9,1,MTZ-US,0.03794440979939563,0,
Cody Acree,20,4,"AMD-US, NVDA-US, QCOM-US, TXN-US",0.03805967653294495,0,
Ben Reitzes,43,5,"AAPL-US, AMD-US, MSFT-US, NVDA-US, QCOM-US",0.03814516408160856,0,
Craig A. Ellis,8,1,AMAT-US,0.0381482527798921,0,
Louis Miscioscia,27,5,"AAPL-US, AMAT-US, AMD-US, NVDA-US, QCOM-US",0.038161684349332634,0,
